questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"লাইসোসোম প্রথম কে আবিষ্কার করেন?","Robert Brown","De Duve","Robert Hook","Camilo Golgi",,2,"ডি ডুভ ১৯৫৫ সালে লাইসোসোম আবিষ্কার করেন।",1,1
"একটি উদ্ভিদ কোষকে প্রোক্যারিওট বলা হয় যখন-","কোষে মাইটোকন্ড্রিয়া থাকে না","সুসংগঠিত নিউক্লিয়াস অনুপস্থিত থাকে","কোষে DNA থাকে না","কোষ প্রোটিন ও DNA দ্বারা গঠিত",,2,"প্রোক্যারিওটিক কোষে সুসংগঠিত নিউক্লিয়াস বা নিউক্লিয়ার মেমব্রেন থাকে না।",1,1
"কোষের DNA তে নাইট্রোজেনাস ক্ষারগুলো কীভাবে সজ্জিত থাকে?","A=T এবং G≡C","A=T এবং C-G","A=G এবং C-T","C=T এবং A≡G",,1,"DNA এর নাইট্রোজেনাস ক্ষারগুলো A=T এবং G≡C দ্বারা যুক্ত থাকে।",1,1
"ক্রোমোজোম কোন সালে আবিষ্কৃত হয়েছে ?",১৮৭৩,১৮৭৫,১৮৮২,১৮৮৮,,2,"১৮৭৫ সালে ওয়ালডেয়ার ক্রোমোজোম আবিষ্কার করেন।",1,1
"DNA মডেল কে তৈরি করেন?","Watson and Crick",Strasburger,Mandel,Waldeyar,,1,"ওয়াটসন ও ক্রিক ১৯৫৩ সালে DNA এর ডাবল হেলিক্স মডেল প্রস্তাব করেন।",1,1
"যে নাইট্রোজেন বেস DNA নিউক্লিওটাইডে অনুপস্থিত?",Adenine,Uracil,Thaiamine,Guanine,,2,"DNA তে থাইমিন থাকলেও ইউরাসিল অনুপস্থিত থাকে, যা RNA তে পাওয়া যায়।",1,1
"পিয়াজের বৈজ্ঞানিক নাম-","Allium sativum","Aloe vera","Allium cepa","Asparagus racemosus",,3,"পেঁয়াজের বিজ্ঞানসম্মত নাম হলো Allium cepa।",1,1
"নিচের কোন প্রক্রিয়াকে ট্রান্সলেশন বলা হয়?",DNA→DNA,DNA→RNA,RNA→protein,RNA→RNA,,3,"mRNA থেকে প্রোটিন তৈরির প্রক্রিয়াকে ট্রান্সলেশন বলা হয়।",1,1
"উদ্ভিদ কোষে সাধারণত কোনটি অনুপস্থিত ?",রাইবোজোম,"এন্ডোপ্লাজমিক রেটিকুলাম",মাইটোকন্ড্রিয়া,সেন্ট্রিওল,,4,"উন্নত উদ্ভিদ কোষে সেন্ট্রিওল সাধারণত থাকে না।",1,1
"নিচের কোনটিতে এন্টিকোডন বিদ্যমান?",mRNA,snRNA,tRNA,সবগুলোতে,,3,"tRNA এর এক প্রান্তে এন্টিকোডন থাকে যা mRNA এর কোডন শনাক্ত করে।",1,1
