questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"অ্যাক্রোসেনট্রিক ক্রোমোজোম এনাফেজ পর্যায়ে দেখতে কেমন?",J-shaped,V-shaped,L-shaped,I-shaped,,1,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2021-09-20/55d4822b-b206-46d6-b899-aae6fbf8175a-image.png"">",1,1
"পেপসিনোজেনকে সক্রিয় পেপসিনে পরিণত করার জন্য কার উপস্থিতি প্রয়োজন?",মিউসিন,সিক্রেটিন,এন্টোরোকাইনেজ,"হাইড্রোক্লোরিক এসিড",,4,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-06-05/4061b06a-2dbb-4a65-b795-d6347669356b-image.png"">",1,1
"হ্যাভারসিয়ান নালি কোথায় দেখা যায়?","স্পঞ্জী অস্থি","নিরেট অস্থি",কোমলাস্থি,হৃৎপিণ্ড,,2,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-06-02/3b9e3243-fea8-4443-8880-ad46e197d7c2-image.png"">",1,1
"মানবদেহে ম্যালেরিয়ার চক্রকে কি বলে?",সাইজোগনি,গ্যামোগনি,স্পোরোগনি,স্পোরোজয়েট,,1,"মানবদেহে ম্যালেরিয়া পরজীবীর অযৌন প্রজনন পর্যায়কে সাইজোগনি বলে।",1,1
"সালোকসংশ্লেষণের সময় পানি থেকে ইলেকট্রন পরিবহন করতে কোন মৌলগুলো সহায়তা করে?","Mn ও Cl","Na ও Cl","Fe ও Co","Na ও Mn",,1,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-09-15/259e19c2-2061-410d-9e3c-33e6565c89b6-image.png"">",1,1
"জীবদেহের অকেজো কোষসমূহের ধ্বংস করে কোনটি?",ইডিওসোম,পারোক্সিসোম,লাইসোসোম,রাইবোসোম,,3,"লাইসোসোমকে কোষের সুইসাইডাল স্কোয়াড বলা হয় যা কোষের অকেজো অংশ ধ্বংস করে।",1,1
"মাস্ট কোষ থেকে কোনটি নির্গত হয়?",LTC4,IgE,IgD,IgG,,2,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-09-24/a5dd953a-807f-4155-b5b5-6699270d25ac-image.png"">",1,1
"Nucleoside হলো-",Purine/Pyrimidine+Phosphate,Purine/Pyrimidine+Sugar,Pyrimidine+Sugar+Phosphate,Purine+Sugar+Phosphate,,2,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/fb93b985-f4a5-4a74-bab5-87756d39c45e-image.png"">",1,1
"আইলেটস অব ল্যাঙ্গারহান্স এর অবস্থান কোথায়?",ফুসফুসে,অগ্ন্যাশয়,ডিম্বাশয়,রেটিনা,,2,"অগ্ন্যাশয়ে এন্ডোক্রাইন গ্রন্থি হিসেবে আইলেটস অব ল্যাঙ্গারহান্স থাকে।",1,1
"মূত্রের বর্ণের জন্য দায়ী কোনটি?",ইউরোম্যাটার,ইউরেনিয়াম,ইউরোক্রোম,নিউরোক্রোম,,3,"মূত্রের হালকা হলুদ বর্ণের জন্য ইউরোক্রোম রঞ্জক দায়ী।",1,1
"শৈবালের স্পোরোঞ্জিয়াম সাধারণতঃ কত কোষী ?",এক,দুই,তিন,বহু,,1,"অধিকাংশ শৈবালের স্পোরোঞ্জিয়াম এককোষী হয়।",1,1
"F1 ও F2 জনুর বংশধরগুলোর হোমোজাইগাস নাকি হেটারোজাইগাস তা জানার প্রক্রিয়া-","ব্যাক ক্রস","টেস্ট ক্রস","মনোহাইব্রিড ক্রস",ডাইহাইব্রিড,,2,"টেস্ট ক্রসের মাধ্যমে কোনো জীবের জেনোটাইপ নির্ধারণ করা যায়।",1,1
"কত মাস বয়সের মানবভ্রুনকে ফিটাস বলে?",blank,৫,৬,৭,,1,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-10-05/1be459e9-430a-4de3-9458-8e35f2eabfca-image.png"">",1,1
"দুটি নন-সিস্টার ক্রোমাটিডের 'X' আকৃতির মতো জোড়া স্থানকে কি বলে?",টেট্রাড,কায়াজমাটা,বাইভেলেন্ট,সিন‍্যাপসিস,,2,"  <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-10-01/69019451-1f95-43a1-9509-2b9f96743271-image.png"">",1,1
"Pteris এর কুন্ডলিত কচি পাতাকে কী বলা হয়?",ফ্রন্ড,ক্রোজিয়ার,পিনা,রাকস,,2,"ফার্ন জাতীয় উদ্ভিদের কুন্ডলিত কচি পাতাকে ক্রোজিয়ার বা সারসিনেট ভার্নেশন বলে।",1,1
"মানবদেহে ADH-ক্ষরণ কমে গেলে কি হয়?","পানির পুনঃশোষণ কমে যায়","পানির পুনঃশোষণ বেড়ে যায়","মূত্র উৎপাদন কমে যায়","সংগ্রাহী নালিকার ভেদ্যতা বেড়ে যায়",,1,"ADH এর অভাবে পানি পুনঃশোষণ কমে যায় এবং ডায়াবেটিস ইনসিপিডাস হয়।",1,1
"কোনটি শিম গাছের রোগ?",টুংরো,মোজাইক,"বানচি টপ",ব্লাইট,,2,"শিম গাছের ভাইরাসজনিত রোগ হলো মোজাইক রোগ।",1,1
"কোনটি ফটোসিনথেটিক অঙ্গাণু গঠনে ভূমিকা রাখে?",ফসফোলিপিড,সালফোলিপিড,স্টেরয়েড,গ্লাইকোলিপিড,,2,"সালফোলিপিড থাইলাকয়েড মেমব্রেন গঠনে অংশ নেয়।",1,1
"মানবদেহের ঘাড়ের পেশিতে রক্ত সরবরাহকারী ধমনী কোনটি?",অন্তঃম্যাক্সিলারী,কোস্টোসার্ভিকাল,অক্সিপিটাল,ফ্রেনিক,,3,"অক্সিপিটাল ধমনী ঘাড় ও মাথার পিছনের অংশে রক্ত সরবরাহ করে।",1,1
"হার্ডেরিয়ান গ্রন্থির অবস্থান কোথায়?",চক্ষু,অগ্ন্যাশয়,ক্ষুদ্রান্ত্র,বৃক্ক,,1,"হার্ডেরিয়ান গ্রন্থি চোখের কক্ষপথ বা অর্বিটে অবস্থিত।",1,1
"কোনটি অপ্রতিসাম্যতার উদাহরণ?",Pteris,Ceoloplana,Pila,Cliona,,4,"স্পঞ্জ (যেমন Cliona) অপ্রতিসম প্রাণী।",1,1
"কোন পর্বের প্রাণীরা ইউসিলোমেট নয়?",Arthopoda,Nematoda,Mollusca,Anelida,,2,"নেমাটোডা পর্বের প্রাণীরা অপ্রকৃত সিলোমেট বা সিউডোসিলোমেট।",1,1
"মানব ভ্রূণে ভ্রূণীয় স্তর গঠিত হয় কখন?","১ম সপ্তাহে","২য় সপ্তায়","৩য় সপ্তাহে","৪র্থ সপ্তাহে",,3,"গ্যাস্ট্রুলেশন প্রক্রিয়ায় ৩য় সপ্তাহে ভ্রূণীয় স্তরগুলো গঠিত হয়।",1,1
"কোনটি বিলুপ্তপ্রায় প্রাণি?","Nipa fruticans","Phoenix paludosa","Acanthus ilicifolius","Cycas pectinata",,4,"Cycas pectinata একটি বিলুপ্তপ্রায় উদ্ভিদ প্রজাতি।",1,1
"মানব দেহের ফুসফুস থেকে অক্সিজেন রক্ত পরিবাহিত হয় কোন প্রক্রিয়া?","অসমোটিক প্রেসার",ব্যাপন,অভিস্রবণ,দ্রবণ,,2,"গ্যাসীয় বিনিময় ব্যাপন প্রক্রিয়ায় সম্পন্ন হয়।",1,1
